Name,Type,PhyD,MagD,FirD,LitD,HolD,CriD,StaD,StrS,DexS,IntS,FaiS,ArcS,Any,PhyB,MagB,FirB,LitB,HolB,Bst,Rst,Wgt,Upgrade
Hand of Malenia,Katana,286,0,0,0,0,100,90,E,B,-,-,-,(50),49,33,33,33,33,33,16,7,Somber Smithing Stones
Harp Bow,Light Bow,151,0,0,0,0,100,40,E,D,-,-,-,-,0,0,0,0,0,0,0,2,Somber Smithing Stones
Heavy Crossbow,Crossbow,288,0,0,0,0,100,66,-,-,-,-,-,-,0,0,0,0,0,0,0,5.5,Smithing Stones
Helphen's Steeple,Greatsword,247,247,0,0,0,100,132,C,E,B,-,-,-,66,60,33,33,33,46,22,11.5,Somber Smithing Stones
Highland Axe,Axe,301,0,0,0,0,110,112,C,D,-,-,-,-,47,31,31,31,31,37,15,4.5,Smithing Stones
Hookclaws,Claw,218,0,0,0,0,110,72,D,B,-,-,-,(60),35,20,20,20,20,24,10,2,Smithing Stones
Horn Bow,Bow,159,73,0,0,0,100,60,D,D,E,-,-,-,0,0,0,0,0,0,0,4.5,Smithing Stones
Hoslow's Petal Whip,Whip,269,0,0,0,0,100,92,D,C,-,-,-,(55),28,17,17,17,17,20,11,3.5,Smithing Stones
Icerind Hatchet,Axe,271,0,0,0,0,100,94,D,B,-,-,-,(65),40,27,27,27,27,27,13,3,Somber Smithing Stones
Inquisitor's Girandole,Spear,249,0,161,0,0,100,88,C,C,-,B,-,(50),56,28,43,28,28,37,18,7.5,Somber Smithing Stones
Inseparable Sword,Straight Sword,240,0,0,0,240,100,132,D,D,-,B,-,-,59,34,34,34,52,44,21,10,Somber Smithing Stones
Iron Ball,Fist,247,0,0,0,0,100,110,C,D,-,-,-,-,38,22,22,22,22,26,11,2.5,Smithing Stones
Iron Cleaver,Axe,294,0,0,0,0,100,122,B,D,-,-,-,-,51,34,34,34,34,40,17,6,Smithing Stones
Iron Greatsword,Greatsword,365,0,0,0,0,100,140,B,E,-,-,-,-,73,39,39,39,39,56,22,12,Smithing Stones
Iron Spear,Spear,279,0,0,0,0,100,80,C,D,-,-,-,-,42,26,26,26,26,37,15,4.5,Smithing Stones
Ivory Sickle,Dagger,147,147,0,0,0,100,56,D,C,C,-,-,-,26,42,15,15,15,18,10,2,Smithing Stones
Jar Cannon,Ballista,672,0,0,0,0,100,180,-,-,-,-,-,-,0,0,0,0,0,0,0,15,Somber Smithing Stones
Jawbone Axe,Axe,303,0,0,0,0,100,122,C,D,-,-,-,-,49,33,33,33,33,43,16,5.5,Smithing Stones
Katar,Fist,237,0,0,0,0,110,100,D,C,-,-,-,-,36,21,21,21,21,25,10,2.5,Smithing Stones
Knight's Greatsword,Greatsword,345,0,0,0,0,100,126,D,C,-,-,-,-,68,36,36,36,36,52,21,10,Smithing Stones
Lance,Great Spear,301,0,0,0,0,100,122,C,C,-,-,-,-,57,36,36,36,36,52,21,9,Smithing Stones
Large Club,Warhammer,320,0,0,0,0,100,154,B,-,-,-,-,-,60,32,32,32,32,45,18,8.5,Smithing Stones
Lazuli Glintstone Sword,Straight Sword,193,230,0,0,0,100,94,C,D,D,-,-,-,30,55,25,25,25,30,15,3.5,Somber Smithing Stones
Light Crossbow,Crossbow,260,0,0,0,0,100,60,-,-,-,-,-,-,0,0,0,0,0,0,0,4,Smithing Stones
Lion Greatbow,Greatbow,294,0,0,0,0,100,150,D,D,-,-,-,-,0,0,0,0,0,0,0,9.5,Somber Smithing Stones
Longbow,Bow,196,0,0,0,0,100,60,D,D,-,-,-,-,0,0,0,0,0,0,0,4,Smithing Stones
Longhaft Axe,Greataxe,357,0,0,0,0,100,156,C,D,-,-,-,-,68,36,36,36,36,52,21,12.5,Smithing Stones
Longsword,Straight Sword,269,0,0,0,0,100,90,C,D,-,-,-,-,45,30,30,30,30,36,15,3.5,Smithing Stones
Lordsworn's Greatsword,Greatsword,333,0,0,0,0,110,126,C,D,-,-,-,-,65,35,35,35,35,50,20,9,Smithing Stones
Lordsworn's Straight Sword,Straight Sword,281,0,0,0,0,110,90,D,D,-,-,-,-,45,30,30,30,30,36,15,3.5,Smithing Stones
Loretta's War Sickle,Halberd,269,173,0,0,0,100,128,C,C,C,-,-,-,57,49,36,36,36,46,16,10,Somber Smithing Stones
Lucerne,Halberd,296,0,0,0,0,100,122,D,B,-,-,-,-,52,33,33,33,33,46,14,7,Smithing Stones
Lusat's Glintstone Staff,Glintstone Staff,58,0,0,0,0,100,42,C,-,S,-,-,-,25,15,15,15,15,15,10,4,Somber Smithing Stones
Mace,Hammer,281,0,0,0,0,100,112,C,D,-,-,-,-,45,30,30,30,30,36,15,4.5,Smithing Stones
Magma Blade,Curved Sword,235,0,151,0,0,100,98,C,D,-,C,-,-,44,30,44,30,30,27,11,4,Somber Smithing Stones
Magma Whip Candlestick,Whip,176,0,176,0,0,100,88,D,B,-,C,-,-,21,10,36,10,10,15,10,2.5,Somber Smithing Stones
Magma Wyrm's Scalesword,Curved Greatsword,279,0,181,0,0,100,140,B,D,-,B,-,-,66,33,48,33,33,50,24,15,Somber Smithing Stones
Maliketh's Black Blade,Colossal Sword,311,0,0,0,200,100,156,B,D,-,B,-,-,68,36,36,36,49,55,27,22,Somber Smithing Stones
Mantis Blade,Curved Sword,274,0,0,0,0,100,94,D,C,-,-,-,-,44,33,33,33,33,32,11,4,Smithing Stones
Marais Executioner's Sword,Greatsword,230,149,0,0,0,100,138,B,E,-,-,D,-,68,49,36,36,36,46,22,11.5,Somber Smithing Stones
Marika's Hammer,Hammer,247,0,0,0,159,100,116,B,D,-,C,-,-,44,30,30,30,44,33,16,6,Somber Smithing Stones
Meteoric Ore Blade,Katana,274,176,0,0,0,100,104,C,D,C,-,-,(50),50,45,31,31,31,33,16,7.5,Somber Smithing Stones
Miquellan Knight's Sword,Straight Sword,257,0,0,0,166,100,90,D,D,-,D,-,-,40,28,28,28,40,30,15,3.5,Somber Smithing Stones
Misbegotten Shortbow,Light Bow,166,0,0,0,0,100,40,D,E,-,-,-,-,0,0,0,0,0,0,0,3,Smithing Stones
Misericorde,Dagger,225,0,0,0,0,140,56,E,C,-,-,-,-,36,21,21,21,21,18,10,2,Smithing Stones
Mohgwyn's Sacred Spear,Great Spear,235,0,151,0,0,100,128,C,D,-,-,C,(55),57,36,49,36,36,46,22,10,Somber Smithing Stones
Monk's Flameblade,Curved Greatsword,328,0,0,0,0,100,122,D,C,-,-,-,-,61,33,33,33,33,46,19,9,Smithing Stones
Monk's Flamemace,Hammer,308,0,0,0,0,100,112,D,C,-,-,-,-,49,33,33,33,33,39,16,6,Smithing Stones
Moonveil,Katana,178,213,0,0,0,100,90,E,B,B,-,-,(50),31,57,26,26,26,31,15,6.5,Somber Smithing Stones
Morgott's Cursed Sword,Curved Greatsword,294,0,0,0,0,110,96,D,B,-,-,D,(60),55,29,29,29,29,35,17,7.5,Somber Smithing Stones
Morning Star,Hammer,289,0,0,0,0,100,116,C,D,-,-,-,(50),47,31,31,31,31,37,15,5,Smithing Stones
Nagakiba,Katana,281,0,0,0,0,100,90,D,B,-,-,-,(45),49,33,33,33,33,39,16,7,Smithing Stones
Nightrider Flail,Flail,274,0,0,0,0,100,116,D,B,-,-,-,(50),37,25,25,25,25,25,15,6,Smithing Stones
Nightrider Glaive,Halberd,316,0,0,0,0,100,140,B,E,-,-,-,-,66,42,42,42,42,60,18,12,Smithing Stones
Noble's Estoc,Thrusting Sword,254,0,0,0,0,100,60,D,D,-,-,-,-,49,33,33,33,33,26,11,3.5,Smithing Stones
Noble's Slender Sword,Straight Sword,247,0,0,0,0,110,80,E,B,-,-,-,-,43,29,29,29,29,36,14,3.5,Smithing Stones
Nox Flowing Hammer,Hammer,298,0,0,0,0,100,116,B,D,-,-,-,-,51,34,34,34,34,34,17,6.5,Somber Smithing Stones
Nox Flowing Sword,Straight Sword,274,0,0,0,0,100,80,D,B,-,-,-,-,40,30,30,30,30,25,10,3.5,Somber Smithing Stones
Omen Cleaver,Curved Greatsword,347,0,0,0,0,100,128,C,C,-,-,-,-,68,36,36,36,36,52,21,11.5,Smithing Stones
Onyx Lord's Greatsword,Curved Greatsword,289,186,0,0,0,100,128,B,E,B,-,-,-,57,42,29,29,29,44,21,11.5,Somber Smithing Stones
Ordovis's Greatsword,Greatsword,262,0,0,0,169,100,134,A,E,-,C,-,-,69,37,37,37,50,47,22,12,Somber Smithing Stones
Ornamental Straight Sword,Straight Sword,247,0,0,0,0,110,84,D,B,-,-,-,-,42,28,28,28,28,28,14,3,Somber Smithing Stones
Parrying Dagger,Dagger,183,0,0,0,0,110,60,E,B,-,-,-,-,35,20,20,20,20,18,10,1.5,Smithing Stones
Partisan,Spear,301,0,0,0,0,100,84,C,D,-,-,-,-,48,30,30,30,30,43,18,6.5,Smithing Stones
Pest's Glaive,Halberd,294,0,0,0,0,100,114,D,C,-,-,-,-,52,33,33,33,33,46,14,7,Smithing Stones
Pickaxe,Warhammer,352,0,0,0,0,100,190,C,D,-,-,-,-,68,36,36,36,36,52,21,10,Smithing Stones
Pike,Spear,281,0,0,0,0,100,82,C,D,-,-,-,-,53,33,33,33,33,46,19,7.5,Smithing Stones
Prelate's Inferno Crozier,Colossal Weapon,382,0,0,0,0,100,210,B,E,-,-,-,-,82,49,49,49,49,66,27,23.5,Smithing Stones
Prince of Death's Staff,Glintstone Staff,43,0,0,0,0,100,40,D,-,A,A,-,-,25,15,15,15,15,15,10,3,Smithing Stones
Pulley Bow,Bow,188,0,0,0,0,100,60,D,D,-,-,-,-,0,0,0,0,0,0,0,5,Somber Smithing Stones
Pulley Crossbow,Crossbow,146,0,0,0,0,100,60,-,-,-,-,-,-,0,0,0,0,0,0,0,4,Somber Smithing Stones
Rapier,Thrusting Sword,235,0,0,0,0,130,60,D,B,-,-,-,-,45,30,30,30,30,24,10,2.5,Smithing Stones
Raptor Talons,Claw,203,0,0,0,0,110,68,E,B,-,-,-,(60),33,19,19,19,19,22,9,1.5,Smithing Stones
Red Branch Shortbow,Light Bow,159,0,0,0,0,100,40,E,D,-,-,-,-,0,0,0,0,0,0,0,2.5,Smithing Stones
Reduvia,Dagger,193,0,0,0,0,110,62,E,C,-,-,B,(50),38,22,22,22,22,16,11,2.5,Somber Smithing Stones
Regalia of Eochaid,Straight Sword,218,139,0,0,0,100,108,D,C,-,-,C,-,48,40,31,31,31,33,17,5.5,Somber Smithing Stones
Ringed Finger,Hammer,296,0,0,0,0,100,94,B,D,-,-,-,-,38,26,26,26,38,28,14,4.5,Somber Smithing Stones
Ripple Blade,Axe,171,0,0,0,0,100,112,-,-,-,-,S,-,47,31,31,31,31,37,15,4.5,Smithing Stones
Ripple Crescent Halberd,Halberd,210,0,0,0,0,100,124,-,-,-,-,S,-,56,35,35,35,35,51,15,8.5,Smithing Stones
Rivers of Blood,Katana,186,0,186,0,0,100,90,E,B,-,-,D,(50),36,26,52,26,26,31,15,6.5,Somber Smithing Stones
Rogier's Rapier,Thrusting Sword,227,0,0,0,0,110,62,E,B,-,-,-,-,49,33,33,33,33,26,11,3.5,Smithing Stones
Rosus' Axe,Axe,259,166,0,0,0,100,116,C,D,C,-,-,-,44,44,30,30,30,33,16,5.5,Somber Smithing Stones
Rotten Battle Hammer,Warhammer,308,0,0,0,0,100,194,B,D,-,-,-,(65),68,36,36,36,36,52,21,10,Smithing Stones
Rotten Crystal Spear,Spear,254,75,0,0,0,100,80,D,B,D,-,-,(55),48,33,26,26,26,33,16,5.5,Somber Smithing Stones
Rotten Crystal Staff,Glintstone Staff,102,0,0,0,0,100,46,C,-,S,-,-,(50),28,17,17,17,17,17,11,4.5,Somber Smithing Stones
Rotten Crystal Sword,Straight Sword,249,161,0,0,0,100,98,C,D,D,-,-,(50),48,38,31,31,31,33,16,4.5,Somber Smithing Stones
Rotten Greataxe,Colossal Weapon,396,0,0,0,0,100,156,D,C,-,-,-,(65),78,47,47,47,47,62,26,20,Smithing Stones
Rotten Staff,Colossal Weapon,404,0,0,0,0,100,200,B,D,-,-,-,(75),75,45,45,45,45,50,25,18,Somber Smithing Stones
Royal Greatsword,Colossal Sword,274,328,0,0,0,100,150,C,D,C,-,-,-,71,63,44,44,44,52,26,20,Somber Smithing Stones
Ruins Greatsword,Colossal Sword,303,90,0,0,0,100,168,S,-,D,-,-,-,82,56,50,50,50,56,28,23,Somber Smithing Stones
Rusted Anchor,Greataxe,360,0,0,0,0,100,164,B,E,-,-,-,-,68,36,36,36,36,52,21,12.5,Smithing Stones
Sacred Relic Sword,Greatsword,289,0,0,0,186,110,112,D,B,-,C,-,-,62,33,33,33,45,42,20,11,Somber Smithing Stones
Sacrificial Axe,Axe,313,0,0,0,0,100,122,C,D,-,-,-,-,49,33,33,33,33,39,16,5.5,Smithing Stones
Scavenger's Curved Sword,Curved Sword,257,0,0,0,0,100,84,C,C,-,-,-,(45),40,30,30,30,30,30,10,3.5,Smithing Stones
Scepter of the All-Knowing,Hammer,242,156,0,0,0,100,84,D,C,C,-,-,-,36,36,25,25,25,27,13,4.5,Somber Smithing Stones
Scimitar,Curved Sword,259,0,0,0,0,100,90,D,C,-,-,-,-,40,30,30,30,30,30,10,3,Smithing Stones
Scorpion's Stinger,Dagger,193,0,0,0,0,110,62,D,B,-,-,-,(50),38,22,22,22,22,16,11,2.5,Somber Smithing Stones
Scythe,Reaper,306,0,0,0,0,100,110,D,B,-,-,-,(55),45,30,30,30,30,36,15,7.5,Smithing Stones
Sentry's Torch,Torch,137,0,0,0,245,100,120,D,E,-,C,-,-,30,21,21,21,36,22,18,5,Somber Smithing Stones
Serpent Bow,Bow,183,0,0,0,0,100,60,D,D,-,-,D,-,0,0,0,0,0,0,0,3.5,Somber Smithing Stones
Serpent-God's Curved Sword,Curved Sword,276,0,0,0,0,100,98,C,D,-,-,-,-,44,33,33,33,33,32,11,4,Smithing Stones
Serpent-Hunter,Great Spear,271,0,0,0,0,100,146,A,E,-,-,-,-,72,42,42,42,42,50,24,12,Somber Smithing Stones
Serpentbone Blade,Katana,294,0,0,0,0,100,84,E,B,-,-,-,(66),45,30,30,30,30,36,15,6,Smithing Stones
Shamshir,Curved Sword,264,0,0,0,0,100,90,D,C,-,-,-,-,42,31,31,31,31,31,10,3.5,Smithing Stones
Short Spear,Spear,274,0,0,0,0,100,80,D,C,-,-,-,-,40,25,25,25,25,36,15,4,Smithing Stones
Short Sword,Straight Sword,249,0,0,0,0,100,90,D,C,-,-,-,-,42,28,28,28,28,33,14,3,Smithing Stones
Shortbow,Light Bow,159,0,0,0,0,100,40,D,D,-,-,-,-,0,0,0,0,0,0,0,2.5,Smithing Stones
Shotel,Curved Sword,235,0,0,0,0,100,86,D,C,-,-,-,-,37,27,27,27,27,26,9,2,Smithing Stones
Siluria's Tree,Great Spear,220,0,0,0,220,100,128,B,D,-,C,-,-,51,36,36,36,55,46,22,10,Somber Smithing Stones
Soldier's Crossbow,Crossbow,240,0,0,0,0,100,56,-,-,-,-,-,-,0,0,0,0,0,0,0,3.5,Smithing Stones
Spear,Spear,279,0,0,0,0,100,80,D,C,-,-,-,-,42,26,26,26,26,37,15,4.5,Smithing Stones
Spiked Caestus,Fist,222,0,0,0,0,100,100,C,C,-,-,-,(45),35,20,20,20,20,24,10,2,Smithing Stones
Spiked Club,Hammer,279,0,0,0,0,100,106,C,C,-,-,-,(50),45,30,30,30,30,36,15,5,Smithing Stones
Spiked Spear,Spear,294,0,0,0,0,100,80,D,D,-,-,-,(50),46,28,28,28,28,40,17,6,Smithing Stones
St. Trina's Torch,Torch,124,0,222,0,0,100,104,D,D,-,C,-,(72),25,15,40,15,15,20,15,3,Somber Smithing Stones
Staff of Loss,Glintstone Staff,38,0,0,0,0,100,38,D,D,S,-,-,-,23,14,14,14,14,14,9,2.5,Smithing Stones
Staff of the Avatar,Colossal Weapon,276,0,0,0,178,100,210,A,D,-,B,-,-,73,45,45,45,57,52,26,20,Somber Smithing Stones
Staff of the Guilty,Glintstone Staff,66,0,0,0,0,100,46,C,-,-,S,-,(45),28,17,17,17,17,17,11,4.5,Smithing Stones
Star Fist,Fist,257,0,0,0,0,100,112,C,D,-,-,-,(45),41,23,23,23,23,27,11,3,Smithing Stones
Starscourge Greatsword,Colossal Sword,316,203,0,0,0,100,156,B,D,D,-,-,-,65,47,34,34,34,52,26,20,Somber Smithing Stones
Steel-Wire Torch,Torch,149,0,267,0,0,100,104,D,B,-,-,-,-,25,18,30,18,18,22,15,3,Smithing Stones
Stone Club,Hammer,298,0,0,0,0,100,130,B,E,-,-,-,-,52,35,35,35,35,43,17,7,Smithing Stones
Stormhawk Axe,Axe,318,0,0,0,0,100,116,C,D,-,-,-,-,49,33,33,33,33,31,16,5.5,Somber Smithing Stones
Sword of Milos,Greatsword,345,0,0,0,0,100,126,C,C,-,-,-,(55),68,36,36,36,36,44,21,10,Somber Smithing Stones
Sword of Night and Flame,Straight Sword,213,137,137,0,0,100,94,D,D,B,B,-,-,36,42,42,26,26,31,15,4,Somber Smithing Stones
Sword of St. Trina,Straight Sword,262,78,0,0,0,100,90,D,C,D,-,-,(66),39,33,27,27,27,28,14,3,Somber Smithing Stones
Thorned Whip,Whip,249,0,0,0,0,100,84,D,B,-,-,-,(50),26,15,15,15,15,18,10,2.5,Smithing Stones
Torch,Torch,132,0,237,0,0,100,84,C,D,-,-,-,-,21,15,25,15,15,22,12,1.5,Smithing Stones
Torchpole,Spear,254,0,75,0,0,100,72,C,C,-,-,-,-,48,26,33,26,26,40,16,6,Smithing Stones
Treespear,Great Spear,298,0,0,0,193,100,122,D,C,-,D,-,-,55,35,35,35,48,54,21,9.5,Smithing Stones
Troll Knight's Sword,Colossal Sword,303,196,0,0,0,100,150,C,C,D,-,-,-,70,55,43,43,43,50,25,18,Somber Smithing Stones
Troll's Golden Sword,Colossal Sword,379,0,0,0,0,100,152,C,D,-,-,-,-,76,46,46,46,46,61,25,19,Smithing Stones
Troll's Hammer,Colossal Weapon,374,0,110,0,0,100,184,B,E,-,D,-,-,66,41,46,41,41,55,23,16,Smithing Stones
Twinblade,Twinblade,291,0,0,0,0,100,90,D,C,-,-,-,-,45,30,30,30,30,36,15,7,Smithing Stones
Twinned Knight Swords,Twinblade,298,0,0,0,0,100,94,C,D,-,-,-,-,47,31,31,31,31,37,15,8,Smithing Stones
Uchigatana,Katana,281,0,0,0,0,100,90,D,C,-,-,-,(45),45,30,30,30,30,36,15,5.5,Smithing Stones
Urumi,Whip,247,0,0,0,0,100,92,E,B,-,-,-,-,27,16,16,16,16,18,11,3,Smithing Stones
Varre's Bouquet,Hammer,112,0,0,0,0,100,100,E,C,-,-,B,(65),38,25,25,25,25,25,12,2,Somber Smithing Stones
Venomous Fang,Claw,225,0,0,0,0,100,78,D,C,-,-,-,(72),36,21,21,21,21,22,10,2.5,Smithing Stones
Veteran's Prosthesis,Fist,203,0,0,129,0,100,110,C,D,-,-,-,-,30,20,20,48,20,24,12,4,Somber Smithing Stones
Vulgar Militia Saw,Halberd,308,0,0,0,0,100,128,D,C,-,-,-,(55),55,35,35,35,35,50,15,8,Smithing Stones
Vulgar Militia Shotel,Halberd,296,0,0,0,0,100,128,E,B,-,-,-,-,55,35,35,35,35,50,15,8,Smithing Stones
Vyke's War Spear,Great Spear,252,0,161,0,0,100,122,D,B,-,C,-,(65),52,33,45,33,33,42,20,8,Somber Smithing Stones
Wakizashi,Dagger,230,0,0,0,0,100,66,D,C,-,-,-,(38),42,24,24,24,24,21,12,3,Smithing Stones
Warhawk's Talon,Straight Sword,247,0,0,0,0,100,84,D,B,-,-,-,-,42,28,28,28,28,36,14,3,Smithing Stones
Warped Axe,Axe,289,0,0,0,0,100,128,B,-,-,-,-,-,56,37,37,37,37,51,18,7.5,Smithing Stones
Warpick,Hammer,264,0,0,0,0,100,106,D,D,-,-,-,-,40,27,27,27,27,32,13,2.5,Smithing Stones
Watchdog's Greatsword,Colossal Sword,347,0,0,0,0,100,164,B,E,-,-,-,-,82,49,49,49,49,66,27,22,Smithing Stones
Watchdog's Staff,Colossal Weapon,404,0,0,0,0,100,200,C,D,-,-,-,-,75,45,45,45,45,50,25,19,Somber Smithing Stones
Weathered Straight Sword,Straight Sword,252,0,0,0,0,100,90,D,C,-,-,-,-,43,29,29,29,29,32,14,3,Smithing Stones
Whip,Whip,245,0,0,0,0,100,84,D,C,-,-,-,-,25,15,15,15,15,18,10,2,Smithing Stones
Wing of Astel,Curved Sword,159,191,0,0,0,100,84,E,C,B,-,-,-,28,52,23,23,23,23,9,2.5,Somber Smithing Stones
Winged Greathorn,Greataxe,318,0,0,0,0,100,150,C,C,-,-,-,-,65,35,35,35,35,42,20,11,Somber Smithing Stones
Winged Scythe,Reaper,213,0,0,0,254,100,110,D,C,-,C,-,(55),30,25,25,25,55,30,15,7.5,Somber Smithing Stones
Zamor Curved Sword,Curved Greatsword,306,0,0,0,0,100,128,C,B,-,-,-,(65),61,33,33,33,33,39,19,9,Somber Smithing Stones
Zweihander,Colossal Sword,345,0,0,0,0,100,126,D,C,-,-,-,-,67,40,40,40,40,54,22,15.5,Smithing Stones
